t,GDP,lnGDP
1,27797,10.23268338
2,27758,10.23127937
3,31868,10.36935765
4,34313,10.44327957
5,29288,10.28493315
6,30637,10.32996371
7,33468,10.41834504
8,39190,10.57617689
9,33286,10.41289217
10,27763,10.23145948
11,40658,10.6129509
12,46310,10.7431132
13,41224,10.62677589
14,42739,10.66286713
15,49885,10.81747564
16,53587,10.88906178
17,44430,10.7016702
18,45536,10.7262585
19,52426,10.86715793
20,60179,11.00507873
21,53013,10.87829245
22,53179,10.88141886
23,55800,10.92952915
24,67704,11.12290054
25,60617,11.01233066
26,62900,11.04930144
27,66746,11.10864965
28,72684,11.19387656
29,68707,11.13760637
30,70273,11.16014294
31,65943,11.09654601
32,66943,11.11159679
33,64171,11.06930667
34,63136,11.05304641
35,68852,11.13971455
36,79170,11.27935272
37,75143,11.22714824
38,82476,11.32026262
39,87716,11.3818596
40,99165,11.50454041
41,91122,11.41995455
42,103104,11.54349347
43,107468,11.58494841
44,117275,11.67227688
45,107305,11.58343053
46,111449,11.62132237
47,113677,11.64111637
48,125260,11.73814686
49,119738,11.6930613
50,122105,11.71263661
51,125329,11.73869756
52,139734,11.84749589
53,134544,11.80964656
54,126818,11.75050827
55,119710,11.69282743
56,115451,11.65660148
57,103035,11.54282402
58,95763,11.46963167
59,94166,11.45281446
60,96736,11.4797409
61,91892,11.42836925
62,90588,11.41407703
63,98596,11.49878597
64,105977,11.57097737
65,102724,11.53980106
66,102562,11.53822277
67,106148,11.57258963
68,114260,11.64623183
69,114034,11.64425193
70,110784,11.61533764
71,109404,11.60280273
72,118991,11.68680314
73,111722,11.62376892
74,109051,11.59957094
75,107672,11.58684485
76,113384,11.63853557
77,59584,10.99514236
78,36722,10.51113131
79,41284,10.62823029
80,64609,11.076109
81,59936,11.00103261
82,63508,11.05892116
83,55848,10.93038899
84,61865,11.03270987
85,53394,10.88545366
86,38008,10.54555194
87,37829,10.54083128
88,47390,10.76616651
89,74126,11.21352163
90,82665,11.32255157
